"major1","Gender","GPA.Range","year.x","survey_city","survey_company","survey_deptfunc","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","latitude","longitude","survey_company_cluster_name"
"Finance","Male","3.00 - 3.49","2019","toledo","bam nutual","Finance","0","accepted fulltime job","Yes","Yes",NA,NA,"39.8560679","-4.0239568","bam nutual"
"Marketing","Female","3.50 - 4.00","2021","columbus","cohatch","General Management","1","accepted fulltime job","Yes","Yes",40000,"Ohio","39.9622601","-83.0007065","cohatch"
"Finance","Male","3.00 - 3.49","2020",NA,"pwc",NA,NA,"accepted fulltime job",NA,NA,NA,NA,NA,NA,"pwc"
"Marketing","Male","3.00 - 3.49","2019","columbus","abercrombie & fitch","General Management","1","accepted fulltime job","Yes","Yes",63500,NA,"39.9622601","-83.0007065","abercrombie & fitch"
"Marketing","Female","3.00 - 3.49","2020","cleveland","mcdonald's","Consulting Marketing / Sales Operations / Procurement","4","accepted fulltime job","Yes","Yes",68000,"Ohio","41.4996562","-81.6936813","mcdonald's"
"Finance","Female","3.50 - 4.00","2019","chicago","ernst & young","Analytics
 Consulting","1","accepted fulltime job","Yes","Yes",58000,NA,"41.8755616","-87.6244212","ernst & young"
"Accountancy","Male","3.50 - 4.00","2021","cleveland","ey","Accounting","1","accepted fulltime job","Yes","Yes",53000,"Ohio","41.4996562","-81.6936813","ey"
"Finance","Female","3.50 - 4.00","2019","newyorkcity","jp morgan",NA,NA,"accepted fulltime job","Yes","Yes",85000,"New York","34.6732303","-1.9146444","jp morgan"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2020","augusta","textron specialized vehicles","Operations / Procurement","1","accepted fulltime job","Yes","Yes",58000,"Georgia","33.4709714","-81.9748429","textron specialized vehicles"
"Accountancy","Female","3.00 - 3.49","2021","chicago","ey","Accounting","1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","ey"
"Accountancy","Female","3.50 - 4.00","2021","chicago","kpmg",NA,"1","accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","kpmg"
"Marketing","Female","2.50 - 2.99","2020",NA,"duff & phelps",NA,NA,"accepted fulltime job",NA,NA,NA,"New York",NA,NA,"duff & phelps"
"Finance","Male","3.00 - 3.49","2019","wichita","textron","Accounting","1","accepted fulltime job","Yes","Yes",63000,"Kansas","37.6922361","-97.3375448","textron specialized vehicles"
"Accountancy","Male","3.00 - 3.49","2020","chicago","deloitte",NA,NA,"accepted fulltime job",NA,NA,62000,"Illinois","41.8755616","-87.6244212","deloitte"
"Marketing","Female","3.00 - 3.49","2020","minneapolis","e. & j. gallo winery","Marketing / Sales","2","accepted fulltime job","Yes","Yes",50000,"Minnesota","44.9772995","-93.2654692","e. & j. gallo winery"
"Marketing","Male","2.00 - 2.49","2019","oxford","asset campus housing","Marketing / Sales","2","accepted fulltime job","Yes","Yes",29000,"Ohio","51.7520131","-1.2578499","asset campus housing"
"Marketing","Female","3.50 - 4.00","2019","chicago","uber",NA,NA,"accepted fulltime job",NA,NA,53000,"Illinois","41.8755616","-87.6244212","uber"
"Management and Leadership","Female","3.00 - 3.49","2020","lincolnshire","alight solutions","Human Resources","1","accepted fulltime job","No","Yes",53000,"Illinois","53.1823034","-0.2031208542548153","alight solutions"
"Finance","Male","3.00 - 3.49","2021","charlotte","vanguard","Finance","1","accepted fulltime job","Yes","Yes",56000,"North Carolina","35.2272086","-80.8430827","vanguard"
"Finance","Male","3.00 - 3.49","2019","buffalo","m&t bank",NA,"1","accepted fulltime job","Yes",NA,55000,"New York","42.8867166","-78.8783922","m&t bank"
"Finance","Male","3.00 - 3.49","2021","columbus","kpmg","Consulting","2","accepted fulltime job","Yes","Yes",60000,"Ohio","39.9622601","-83.0007065","kpmg"
"Marketing","Female","3.50 - 4.00","2021","atlanta","the home depot",NA,"2","accepted fulltime job","Yes","Yes",65000,"Georgia","33.7489924","-84.3902644","the home depot"
"Finance","Female","2.50 - 2.99","2021","covington","fidelity investments",NA,NA,"accepted fulltime job",NA,NA,45000,"Kentucky","31.196549","-86.4597236","fidelity investments"
"Accountancy","Female","3.00 - 3.49","2021","dallas","rsm","Accounting","1","accepted fulltime job","Yes","Yes",59000,"Texas","32.7762719","-96.7968559","rsm"
"Accountancy","Female","3.50 - 4.00","2019","cleveland","ernst and young","Accounting","1","accepted fulltime job","Yes","Yes",51000,NA,"41.4996562","-81.6936813","ernst & young"
"Marketing","Female","2.50 - 2.99","2019","chicago","the chamberlain group","Marketing / Sales","3","accepted fulltime job","Yes","Yes",54000,NA,"41.8755616","-87.6244212","the home depot"
"Marketing","Female","3.00 - 3.49","2019","columbus","abercrombie & fitch","Marketing / Sales","1","accepted fulltime job","Yes","No",62500,"Ohio","39.9622601","-83.0007065","abercrombie & fitch"
"Marketing","Female","3.00 - 3.49","2019","chicago","cvs health","Accounting
 Finance","2","accepted fulltime job","Yes","Yes",54000,"Illinois","41.8755616","-87.6244212","cvs health"
"Business Economics","Male","3.00 - 3.49","2020",NA,"john deere",NA,"0","accepted fulltime job",NA,NA,NA,NA,NA,NA,"john deere"
"Finance","Male","3.00 - 3.49","2020",NA,"keybanc capital markets",NA,NA,"accepted fulltime job",NA,NA,75000,NA,NA,NA,"keybanc capital markets"
"Finance","Male","3.00 - 3.49","2021","chicago","cibc",NA,"2","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","cibc"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","lasvegas","cintas",NA,"2","accepted fulltime job","Yes","Yes",50000,"Nevada","45.8676529","11.0130912","cintas"
"Finance","Female","3.00 - 3.49","2020","indianapolis","cummins, inc.","Finance","1","accepted fulltime job","Yes","Yes",60000,"Indiana","39.7683331","-86.1583502","cummins, inc."
"Business Economics","Female","3.50 - 4.00","2019","cleveland","insight2profit","Analytics
 Consulting","1","accepted fulltime job","Yes","Yes",58000,"Ohio","41.4996562","-81.6936813","insight2profit"
"Marketing","Female","3.00 - 3.49","2019","chicago","coyote logistics","Marketing / Sales","1","accepted fulltime job","Yes","Yes",40000,NA,"41.8755616","-87.6244212","coyote logistics"
"Accountancy","Male","3.50 - 4.00","2019","milwaukee","deloitte","Accounting","1","accepted fulltime job","Yes","Yes",53000,"Wisconsin","43.0349931","-87.922497","deloitte"
"Marketing","Male","3.00 - 3.49","2021","boston","fairway mortgage","Finance Marketing / Sales","2","accepted fulltime job","Yes","Yes",45000,"Massachusetts","42.3602534","-71.0582912","fairway mortgage"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","detroit","general motors","Analytics
 Logistics / Supply Chain
 Operations / Procurement","3","accepted fulltime job","Yes","Yes",75000,NA,"42.3315509","-83.0466403","general motors"
"Accountancy","Male","3.00 - 3.49","2021","denver","pwc",NA,"2","accepted fulltime job","Yes","Yes",55000,"Colorado","39.7392364","-104.9848623","pwc"
"Marketing","Male","3.50 - 4.00","2020","columbus","jp morgan chase",NA,NA,"accepted fulltime job",NA,NA,59000,"Ohio","39.9622601","-83.0007065","jp morgan"
"Finance","Male","2.50 - 2.99","2020","durham","nutanix",NA,NA,"accepted fulltime job",NA,NA,NA,"North Carolina","54.666667","-1.75","nutanix"
"Marketing","Male","3.00 - 3.49","2019","chicago","publicis sapient","Marketing/Sales","4","accepted fulltime job","No","Yes",50000,"Illinois","41.8755616","-87.6244212","publicis sapient"
